ID,university names,country code
271,Technical University of Košice,SVK
272,Slovak University of Technology in Bratislava,SVK
273,"Nanyang Technological University, Singapore",SGP
274,National University of Singapore,SGP
275,University of Belgrade,SRB
276,King Abdulaziz University,SAU
277,King Saud University,SAU
278,ITMO University,RUS
279,Moscow Institute of Physics and Technology,RUS
280,Peter the Great St Petersburg Polytechnic University,RUS
281,Higher School of Economics,RUS
282,Saint Petersburg State University,RUS
283,National Research Nuclear University MEPhI,RUS
284,Novosibirsk State Technical University,RUS
285,Lomonosov Moscow State University,RUS
286,Tomsk Polytechnic University,RUS
287,Samara University,RUS
288,Ural Federal University,RUS
289,St Petersburg Electrotechnical University (LETI),RUS
290,Southern Federal University,RUS
291,Bauman Moscow State Technical University,RUS
292,Tomsk State University,RUS
293,Novosibirsk State University,RUS
294,Qatar University,QAT
295,University of Beira Interior,PRT
296,University of Coimbra,PRT
297,University of Lisbon,PRT
298,University of Porto,PRT
299,ISCTE-University Institute of Lisbon,PRT
300,University of Minho,PRT
301,University of Warsaw,POL
302,Warsaw University of Technology,POL
303,Wrocław University of Science and Technology,POL
304,AGH University of Science and Technology,POL
305,Gdańsk University of Technology,POL
306,Jagiellonian University,POL
307,Łodz University of Technology,POL
308,University of the Philippines,PHL
309,COMSATS University Islamabad,PAK
310,National University of Sciences and Technology,PAK
311,University of Oslo,NOR
312,University of Bergen,NOR
313,Norwegian University of Science and Technology,NOR
314,Victoria University of Wellington,NZL
315,University of Auckland,NZL
316,University of Canterbury,NZL
317,University of Otago,NZL
318,Auckland University of Technology,NZL
319,University of Amsterdam,NLD
320,University of Groningen,NLD
321,University of Twente,NLD
322,Radboud University Nijmegen,NLD
323,Eindhoven University of Technology,NLD
324,Vrije Universiteit Amsterdam,NLD
325,Delft University of Technology,NLD
326,Maastricht University,NLD
327,Utrecht University,NLD
328,Sidi Mohamed Ben Abdellah University,MAR
329,Mohammed V University of Rabat,MAR
330,Université Hassan II de Casablanca,MAR
331,Monterrey Institute of Technology,MEX
332,Universidad Nacional Autónoma de México,MEX
333,University of Malaya,MYS
334,Universiti Teknologi Petronas,MYS
335,Universiti Tenaga Nasional (UNITEN),MYS
336,"University of Science, Malaysia",MYS
337,Universiti Teknologi Malaysia,MYS
338,Universiti Kebangsaan Malaysia,MYS
339,Universiti Putra Malaysia,MYS
340,Universiti Teknologi MARA,MYS
341,Universiti Utara Malaysia,MYS
342,University of Macau,MAC
343,University of Luxembourg,LUX
344,Kaunas University of Technology,LTU
345,American University of Beirut,LBN
346,Riga Technical University,LVA
347,Kuwait University,KWT
348,Jordan University of Science and Technology,JOR
349,The University of Aizu,JPN
350,The University of Tokyo,JPN
351,Tokyo Metropolitan University,JPN
352,Nagoya University,JPN
353,Tohoku University,JPN
354,Hosei University,JPN
355,Kyoto University,JPN
356,Kyushu University,JPN
357,Osaka University,JPN
358,Waseda University,JPN
359,Tokyo University of Science,JPN
360,Hokkaido University,JPN
361,Hiroshima University,JPN
362,Tokyo University of Agriculture and Technology,JPN
363,Shizuoka University,JPN
364,Kobe University,JPN
365,Toyohashi University of Technology (TUT),JPN
366,University of Tsukuba,JPN
367,The University of Electro-Communications,JPN
368,Meiji University,JPN
369,Yokohama National University,JPN
370,Keio University,JPN
371,Chiba University,JPN
372,Ritsumeikan University,JPN
373,Shibaura Institute of Technology Tokyo,JPN
374,Kansai University,JPN
375,Hokkaido Tokai University,JPN
376,Tokyo Denki University,JPN
377,Kyoto Institute of Technology,JPN
378,Free University of Bozen-Bolzano,ITA
379,University of Trento,ITA
380,University of Perugia,ITA
