ID,university names,country code,address
3112,Dr. Ram Manohar Lohia Avadh University,IND,"Allahabad Rd, Hawai Patti, Avadh University Campus, Faizabad, Uttar Pradesh 224001, India"
3113,Dr. YS Parmar University of Horticulture and Forestry,IND,"Nauni, Himachal Pradesh 173230, India"
3114,Eiilm University,IND,"8th Mile, Budang, Malabassey, Sikkim 737120, India"
3115,Engineering Colleges in Tamil Nadu,IND,"NH 44, Karuppur, Salem, Tamil Nadu 636011, India"
3116,Fakir Mohan University,IND,"Vyasa Vihar, Nuapadhi, Balasore, Odisha 756020, India"
3117,Fatima mata national college kollam kerala,IND,"Chemmanmukku Railway Station Rd, Jawahar Nagar, Karbala, Kollam, Kerala 691001, India"
3118,First Global University to teaching Jainism,IND,NaN
3119,Forest Research Institute Dehradun,IND,"Forest Research Institute, Indian Military Academy, Dehradun, Uttarakhand, India"
3120,Gandhigram Rural Institute,IND,"Gandhigram, Dindigul District, Chinnalapatti, Tamil Nadu 624302, India"
3121,Gandhi Institute of Technology and Managment,IND,"Gandhi Nagar, Rushikonda, Visakhapatnam, Andhra Pradesh 530045, India"
3122,Gauhati University,IND,"Jalukbari, Guwahati, Assam 781014, India"
3123,Global Open University - Nagaland,IND,"Sodzulhou Village, P.O. - ARTC, NH-39, Dimapur, Nagaland 797115, India"
3124,Goa University,IND,"University road, Taleigao, Goa 403206, India"
3125,Gokhale Institute of Politics and Economics,IND,"Survey No 846, BMCC Road, Deccan Gymkhana, Pune, Maharashtra 411004, India"
3126,Govind Ballabh Pant University of Agriculture and Technology,IND,"District - Udham Singh Nagar, Pantnagar, Uttarakhand 263153, India"
3127,Gujarat Ayurved University,IND,"Police Station, Chanakya Bhavan, Gurudwara Road, Opp. City B Division, Jamnagar, Gujarat 361008, India"
3128,Gujarat Technological University Ahmedabad,IND,"Gujarat State Highway 41, Near Visat Three Roads, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424, India"
3129,Gujarat University Ahmedabad,IND,"Navrangpura, Ahmedabad, Gujarat 380009, India"
3130,Gulbarga University,IND,"Sedam Road, Jnana Ganga, Gulbarga, Karnataka 585106, India"
3131,Guru Ghasidas University,IND,"C.G, Koni, Bilaspur, Chhattisgarh 495009, India"
3132,Guru Gobind Singh Indraprastha University,IND,"Sector 16 C, Dwarka, Delhi, 110078, India"
3133,Guru Jambeshwar University,IND,"Guru Jambheshwar University of Science & Technology, Hisar-Delhi Bypass Rd, Guru Jambheshwar University of Science and Technology, Hisar, Haryana 125001, India"
3134,Gurukula Kangri University,IND,"Jagjeetpur, Haridwar, Uttarakhand 249404, India"
3135,Gurukul University,IND,"Jagjeetpur, Haridwar, Uttarakhand 249404, India"
3136,Guru Nanak Dev University,IND,"Scf 54, UT Market Grand Trunk Road, Off, NH 1, Amritsar, Punjab 143005, India"
3137,Hemchandracharay North Gujarat University,IND,"Hemchandracharya North University, Patan, Gujarat 384265, India"
3138,Hemwati Nandan Bahuguna Garhwal University,IND,"USIC Building Garhwal University, Madhi Chauras, Naur, Uttarakhand 249161, India"
3139,Hidayatullah National Law University - Raipur,IND,"Post, opp. Jungle Safari, Sector 40, Uparwara, Atal Nagar, Chhattisgarh 492002, India"
